{\rtf1\ansi\ansicpg936\deff0\deflang1033\deflangfe2052{\fonttbl{\f0\fnil\fcharset134 \'cb\'ce\'cc\'e5;}}
\viewkind4\uc1\pard\lang2052\f0\fs18\'b8\'d6\'bd\'ee\'ba\'b8\'bd\'d3\par
GH2023-B2906\par
3\par
2\par
\'c0\'ad\'c9\'ec\par
\'d4\'b2\'b0\'f4\par
WE-300B\'cd\'f2\'c4\'dc\'ca\'d4\'d1\'e9\'bb\'fa\par
32|\'b6\'c5\'b5\'c2\'c9\'fa\par
2023\'c4\'ea3\'d4\'c213\'c8\'d5\par
121.5\par
0\par
84.1\par
\par
\par
\par
\par
\par
\par
\par
\par
,30.04\par
0.02,30.62\par
0.08,31.21\par
0.14,31.80\par
0.20,32.40\par
0.27,33.01\par
0.33,33.63\par
0.39,34.26\par
0.45,34.90\par
0.52,35.75\par
0.58,36.41\par
0.64,37.07\par
0.70,37.73\par
0.76,38.41\par
0.83,39.09\par
0.89,39.78\par
0.95,40.47\par
1.01,41.17\par
1.08,41.89\par
1.14,42.83\par
1.20,43.56\par
1.26,44.28\par
1.33,45.00\par
1.39,45.74\par
1.45,46.47\par
1.51,47.21\par
1.58,47.95\par
1.64,48.70\par
1.70,49.69\par
1.76,50.44\par
1.83,51.19\par
1.89,51.94\par
1.95,52.71\par
2.01,53.48\par
2.08,54.27\par
2.14,55.06\par
2.20,55.86\par
2.26,56.94\par
2.32,57.76\par
2.39,58.59\par
2.45,59.43\par
2.51,60.28\par
2.57,61.14\par
2.64,62.00\par
2.70,62.88\par
2.76,63.77\par
2.82,64.67\par
2.89,65.87\par
2.95,66.78\par
3.01,67.69\par
3.07,68.61\par
3.14,69.53\par
3.20,70.46\par
3.26,71.38\par
3.32,72.31\par
3.39,73.54\par
3.45,74.46\par
3.51,75.37\par
3.57,76.29\par
3.64,77.21\par
3.70,78.11\par
3.76,78.99\par
3.82,79.87\par
3.88,80.75\par
3.95,81.88\par
4.01,82.71\par
4.07,83.50\par
4.13,84.25\par
4.20,84.97\par
4.26,85.64\par
4.32,86.27\par
4.38,86.85\par
4.45,87.40\par
4.51,87.89\par
4.57,88.48\par
4.63,88.87\par
4.70,89.21\par
4.76,89.50\par
4.82,89.76\par
4.88,89.95\par
4.95,90.12\par
5.01,90.25\par
5.07,90.35\par
5.13,90.44\par
5.20,90.51\par
5.26,90.55\par
5.32,90.59\par
5.38,90.63\par
5.44,90.65\par
5.51,90.66\par
5.57,90.67\par
5.63,90.66\par
5.69,90.65\par
5.76,90.62\par
5.82,90.60\par
5.88,90.58\par
5.94,90.57\par
6.01,90.55\par
6.07,90.54\par
6.13,90.54\par
6.19,90.54\par
6.26,90.55\par
6.32,90.57\par
6.38,90.58\par
6.44,90.59\par
6.51,90.62\par
6.57,90.63\par
6.63,90.65\par
6.69,90.67\par
6.76,90.68\par
6.82,90.69\par
6.88,90.71\par
6.94,90.73\par
7.00,90.74\par
7.07,90.75\par
7.13,90.76\par
7.19,90.77\par
7.25,90.77\par
7.32,90.78\par
7.38,90.78\par
7.44,90.78\par
7.50,90.79\par
7.57,90.80\par
7.63,90.81\par
7.69,90.82\par
7.75,90.85\par
7.82,90.87\par
7.88,90.89\par
7.94,90.91\par
8.00,90.94\par
8.07,90.95\par
8.13,90.96\par
8.19,90.97\par
8.25,90.98\par
8.32,90.98\par
8.38,90.98\par
8.44,90.98\par
8.50,90.97\par
8.56,90.97\par
8.63,90.96\par
8.69,90.97\par
8.75,90.96\par
8.81,90.95\par
8.88,90.92\par
8.94,90.89\par
9.00,90.87\par
9.06,90.87\par
9.13,90.89\par
9.19,90.94\par
9.25,91.01\par
9.31,91.09\par
9.38,91.18\par
9.44,91.27\par
9.50,91.35\par
9.56,91.45\par
9.63,91.54\par
9.69,91.62\par
9.75,91.70\par
9.81,91.82\par
9.88,91.92\par
9.94,92.02\par
10.00,92.10\par
10.06,92.18\par
10.12,92.24\par
10.19,92.26\par
10.25,92.26\par
10.31,92.25\par
10.37,92.24\par
10.44,92.20\par
10.50,92.18\par
10.56,92.16\par
10.62,92.14\par
10.69,92.14\par
10.75,92.15\par
10.81,92.17\par
10.87,92.19\par
10.94,92.21\par
11.00,92.25\par
11.06,92.27\par
11.12,92.30\par
11.19,92.34\par
11.25,92.37\par
11.31,92.40\par
11.37,92.43\par
11.44,92.47\par
11.50,92.49\par
11.56,92.52\par
11.62,92.55\par
11.68,92.56\par
11.75,92.57\par
11.81,92.58\par
11.87,92.58\par
11.93,92.58\par
12.00,92.58\par
12.06,92.56\par
12.12,92.53\par
12.18,92.49\par
12.25,92.47\par
12.31,92.46\par
12.37,92.48\par
12.43,92.52\par
12.50,92.60\par
12.56,92.69\par
12.62,92.80\par
12.68,92.94\par
12.75,93.06\par
12.81,93.18\par
12.87,93.33\par
12.93,93.47\par
13.00,93.63\par
13.06,93.80\par
13.12,93.99\par
13.18,94.19\par
13.24,94.39\par
13.31,94.63\par
13.37,94.77\par
13.43,94.89\par
13.49,95.02\par
13.56,95.11\par
13.62,95.22\par
13.68,95.32\par
13.74,95.42\par
13.81,95.52\par
13.87,95.66\par
13.93,95.75\par
13.99,95.85\par
14.06,95.95\par
14.12,96.05\par
14.18,96.15\par
14.24,96.25\par
14.31,96.34\par
14.37,96.44\par
14.43,96.54\par
14.49,96.67\par
14.56,96.77\par
14.62,96.87\par
14.68,96.97\par
14.74,97.07\par
14.80,97.17\par
14.87,97.25\par
14.93,97.35\par
14.99,97.45\par
15.05,97.57\par
15.12,97.67\par
15.18,97.77\par
15.24,97.87\par
15.30,97.98\par
15.37,98.09\par
15.43,98.20\par
15.49,98.30\par
15.55,98.39\par
15.62,98.49\par
15.68,98.57\par
15.74,98.65\par
15.80,98.74\par
15.87,98.83\par
15.93,98.93\par
15.99,99.02\par
16.05,99.12\par
16.12,99.21\par
16.18,99.33\par
16.24,99.43\par
16.30,99.51\par
16.36,99.60\par
16.43,99.70\par
16.49,99.80\par
16.55,99.91\par
16.61,100.02\par
16.68,100.12\par
16.74,100.24\par
16.80,100.30\par
16.86,100.37\par
16.93,100.45\par
16.99,100.53\par
17.05,100.61\par
17.11,100.69\par
17.18,100.78\par
17.24,100.87\par
17.30,100.95\par
17.36,101.08\par
17.43,101.15\par
17.49,101.24\par
17.55,101.32\par
17.61,101.41\par
17.68,101.50\par
17.74,101.60\par
17.80,101.70\par
17.86,101.79\par
17.92,101.88\par
17.99,101.98\par
18.05,102.06\par
18.11,102.13\par
18.17,102.21\par
18.24,102.30\par
18.30,102.38\par
18.36,102.45\par
18.42,102.53\par
18.49,102.61\par
18.55,102.72\par
18.61,102.80\par
18.67,102.88\par
18.74,102.97\par
18.80,103.05\par
18.86,103.15\par
18.92,103.24\par
18.99,103.34\par
19.05,103.44\par
19.11,103.54\par
19.17,103.61\par
19.24,103.66\par
19.30,103.71\par
19.36,103.78\par
19.42,103.84\par
19.48,103.92\par
19.55,103.99\par
19.61,104.07\par
19.67,104.17\par
19.73,104.25\par
19.80,104.31\par
19.86,104.39\par
19.92,104.46\par
19.98,104.54\par
20.05,104.62\par
20.11,104.70\par
20.17,104.79\par
20.23,104.89\par
20.30,105.02\par
20.36,105.11\par
20.42,105.20\par
20.48,105.28\par
20.55,105.35\par
20.61,105.42\par
20.67,105.49\par
20.73,105.57\par
20.80,105.63\par
20.86,105.69\par
20.92,105.73\par
20.98,105.77\par
21.04,105.83\par
21.11,105.89\par
21.17,105.96\par
21.23,106.03\par
21.29,106.10\par
21.36,106.16\par
21.42,106.25\par
21.48,106.32\par
21.54,106.39\par
21.61,106.46\par
21.67,106.52\par
21.73,106.59\par
21.79,106.68\par
21.86,106.77\par
21.92,106.86\par
21.98,106.96\par
22.04,107.07\par
22.11,107.14\par
22.17,107.21\par
22.23,107.27\par
22.29,107.34\par
22.36,107.41\par
22.42,107.48\par
22.48,107.54\par
22.54,107.60\par
22.60,107.69\par
22.67,107.76\par
22.73,107.81\par
22.79,107.87\par
22.85,107.90\par
22.92,107.93\par
22.98,107.97\par
23.04,108.01\par
23.10,108.06\par
23.17,108.14\par
23.23,108.20\par
23.29,108.26\par
23.35,108.32\par
23.42,108.37\par
23.48,108.44\par
23.54,108.49\par
23.60,108.55\par
23.67,108.61\par
23.73,108.67\par
23.79,108.76\par
23.85,108.84\par
23.92,108.93\par
23.98,109.02\par
24.04,109.10\par
24.10,109.17\par
24.16,109.22\par
24.23,109.28\par
24.29,109.34\par
24.35,109.41\par
24.41,109.47\par
24.48,109.53\par
24.54,109.58\par
24.60,109.64\par
24.66,109.69\par
24.73,109.75\par
24.79,109.81\par
24.85,109.86\par
24.91,109.94\par
24.98,109.99\par
25.04,110.01\par
25.10,110.04\par
25.16,110.05\par
25.23,110.09\par
25.29,110.13\par
25.35,110.18\par
25.41,110.22\par
25.48,110.28\par
25.54,110.34\par
25.60,110.40\par
25.66,110.44\par
25.72,110.50\par
25.79,110.55\par
25.85,110.60\par
25.91,110.65\par
25.98,110.70\par
26.04,110.77\par
26.10,110.87\par
26.16,110.95\par
26.22,111.03\par
26.29,111.08\par
26.35,111.14\par
26.41,111.20\par
26.47,111.24\par
26.54,111.29\par
26.60,111.35\par
26.66,111.41\par
26.72,111.45\par
26.79,111.50\par
26.85,111.54\par
26.91,111.60\par
26.97,111.64\par
27.04,111.69\par
27.10,111.73\par
27.16,111.79\par
27.22,111.85\par
27.28,111.87\par
27.35,111.89\par
27.41,111.91\par
27.47,111.94\par
27.54,111.97\par
27.60,112.00\par
27.66,112.05\par
27.72,112.09\par
27.78,112.15\par
27.85,112.19\par
27.91,112.24\par
27.97,112.28\par
28.03,112.33\par
28.10,112.37\par
28.16,112.42\par
28.22,112.46\par
28.28,112.53\par
28.35,112.60\par
28.41,112.69\par
28.47,112.75\par
28.53,112.81\par
