{\rtf1\ansi\ansicpg936\deff0\deflang1033\deflangfe2052{\fonttbl{\f0\fnil\fcharset134 \'cb\'ce\'cc\'e5;}}
\viewkind4\uc1\pard\lang2052\f0\fs18\'b8\'d6\'bd\'ee\'ba\'b8\'bd\'d3\par
GH2023-B4524\par
3\par
1\par
\'c0\'ad\'c9\'ec\par
\'d4\'b2\'b0\'f4\par
WE-600S\'ca\'fd\'cf\'d4\'ca\'bd\'cd\'f2\'c4\'dc\'b2\'c4\'c1\'cf\'ca\'d4\'d1\'e9\'bb\'fa\par
01|\'b9\'f9\'b4\'e4\par
2023\'c4\'ea3\'d4\'c214\'c8\'d5\par
194.4\par
96.2\par
83.0\par
\par
\par
\par
\par
\par
\par
\par
\par
,30.40\par
0.02,31.32\par
0.06,31.51\par
0.12,32.28\par
0.19,32.85\par
0.25,33.44\par
0.31,34.02\par
0.37,34.62\par
0.44,35.21\par
0.50,35.81\par
0.56,36.42\par
0.62,37.23\par
0.69,37.85\par
0.75,38.46\par
0.81,39.08\par
0.87,39.69\par
0.94,40.32\par
1.00,40.95\par
1.06,41.57\par
1.12,42.21\par
1.18,42.84\par
1.25,43.70\par
1.31,44.35\par
1.37,44.99\par
1.44,45.64\par
1.50,46.29\par
1.56,46.94\par
1.62,47.61\par
1.68,48.26\par
1.75,48.93\par
1.81,49.60\par
1.87,50.50\par
1.93,51.17\par
2.00,51.84\par
2.06,52.53\par
2.12,53.21\par
2.18,53.90\par
2.25,54.60\par
2.31,55.30\par
2.37,56.01\par
2.43,56.96\par
2.50,57.68\par
2.56,58.40\par
2.62,59.13\par
2.68,59.86\par
2.74,60.60\par
2.81,61.35\par
2.87,62.10\par
2.93,63.10\par
3.00,63.86\par
3.06,64.62\par
3.12,65.39\par
3.18,66.17\par
3.24,66.94\par
3.31,67.72\par
3.37,68.49\par
3.43,69.28\par
3.49,70.06\par
3.56,71.11\par
3.62,71.89\par
3.68,72.68\par
3.74,73.47\par
3.81,74.26\par
3.87,75.06\par
3.93,75.85\par
3.99,76.64\par
4.06,77.44\par
4.12,78.23\par
4.18,79.30\par
4.24,80.09\par
4.30,80.90\par
4.37,81.69\par
4.43,82.50\par
4.49,83.30\par
4.56,84.11\par
4.62,84.91\par
4.68,85.72\par
4.74,86.81\par
4.80,87.63\par
4.87,88.44\par
4.93,89.27\par
4.99,90.10\par
5.05,90.92\par
5.12,91.76\par
5.18,92.60\par
5.24,93.44\par
5.30,94.57\par
5.37,95.42\par
5.43,96.28\par
5.49,97.15\par
5.55,98.03\par
5.62,98.90\par
5.68,99.78\par
5.74,100.68\par
5.80,101.58\par
5.86,102.49\par
5.93,103.71\par
5.99,104.62\par
6.05,105.54\par
6.12,106.46\par
6.18,107.39\par
6.24,108.30\par
6.30,109.23\par
6.36,110.16\par
6.43,111.11\par
6.49,112.36\par
6.55,113.30\par
6.61,114.24\par
6.68,115.20\par
6.74,116.15\par
6.80,117.10\par
6.86,118.07\par
6.93,119.02\par
6.99,119.99\par
7.05,121.28\par
7.11,122.25\par
7.18,123.22\par
7.24,124.20\par
7.30,125.17\par
7.36,126.15\par
7.42,127.12\par
7.49,128.08\par
7.55,129.05\par
7.61,130.01\par
7.68,131.27\par
7.74,132.21\par
7.80,133.14\par
7.86,134.05\par
7.92,134.94\par
7.99,135.83\par
8.05,136.68\par
8.11,137.52\par
8.17,138.34\par
8.24,139.39\par
8.30,140.14\par
8.36,140.86\par
8.42,141.56\par
8.49,142.23\par
8.55,142.87\par
8.61,143.48\par
8.67,144.08\par
8.74,144.66\par
8.80,145.39\par
8.86,145.93\par
8.92,146.45\par
8.98,146.97\par
9.05,147.47\par
9.11,147.97\par
9.17,148.44\par
9.24,148.91\par
9.30,149.37\par
9.36,149.97\par
9.42,150.42\par
9.48,150.86\par
9.55,151.28\par
9.61,151.69\par
9.67,152.06\par
9.73,152.39\par
9.80,152.70\par
9.86,152.96\par
9.92,153.24\par
9.98,153.42\par
10.05,153.57\par
10.11,153.69\par
10.17,153.79\par
10.23,153.87\par
10.30,153.93\par
10.36,153.96\par
10.42,153.97\par
10.48,153.97\par
10.54,153.95\par
10.61,153.93\par
10.67,153.89\par
10.73,153.86\par
10.80,153.83\par
10.86,153.80\par
10.92,153.78\par
10.98,153.77\par
11.04,153.77\par
11.11,153.76\par
11.17,153.74\par
11.23,153.73\par
11.29,153.69\par
11.36,153.66\par
11.42,153.61\par
11.48,153.57\par
11.54,153.51\par
11.61,153.47\par
11.67,153.42\par
11.73,153.37\par
11.79,153.33\par
11.86,153.29\par
11.92,153.24\par
11.98,153.19\par
12.04,153.13\par
12.10,153.09\par
12.17,153.03\par
12.23,152.99\par
12.29,152.93\par
12.36,152.90\par
12.42,152.87\par
12.48,152.84\par
12.54,152.82\par
12.60,152.80\par
12.67,152.78\par
12.73,152.77\par
12.79,152.76\par
12.85,152.76\par
12.92,152.77\par
12.98,152.80\par
13.04,152.83\par
13.10,152.87\par
13.17,152.92\par
13.23,152.98\par
13.29,153.03\par
13.35,153.11\par
13.42,153.18\par
13.48,153.29\par
13.54,153.37\par
13.60,153.43\par
13.66,153.51\par
13.73,153.57\par
13.79,153.60\par
13.85,153.60\par
13.92,153.56\par
13.98,153.50\par
14.04,153.45\par
14.10,153.43\par
14.16,153.46\par
14.23,153.49\par
14.29,153.55\par
14.35,153.61\par
14.41,153.70\par
14.48,153.80\par
14.54,153.93\par
14.60,154.10\par
14.66,154.23\par
14.73,154.39\par
14.79,154.56\par
14.85,154.77\par
14.91,155.00\par
14.98,155.24\par
15.04,155.47\par
15.10,155.72\par
15.16,155.86\par
15.22,155.97\par
15.29,156.06\par
15.35,156.12\par
15.41,156.17\par
15.48,156.19\par
15.54,156.21\par
15.60,156.21\par
15.66,156.23\par
15.72,156.23\par
15.79,156.23\par
15.85,156.23\par
15.91,156.21\par
15.97,156.21\par
16.04,156.21\par
16.10,156.21\par
16.16,156.24\par
16.22,156.26\par
16.29,156.28\par
16.35,156.30\par
16.41,156.32\par
16.47,156.34\par
16.54,156.35\par
16.60,156.35\par
16.66,156.36\par
16.72,156.37\par
16.78,156.38\par
16.85,156.42\par
16.91,156.46\par
16.97,156.49\par
17.04,156.52\par
17.10,156.54\par
17.16,156.54\par
17.22,156.54\par
17.28,156.53\par
17.35,156.52\par
17.41,156.49\par
17.47,156.46\par
17.53,156.42\par
17.60,156.36\par
17.66,156.29\par
17.72,156.18\par
17.78,156.07\par
17.85,155.96\par
17.91,155.88\par
17.97,155.86\par
18.03,155.89\par
18.10,155.95\par
18.16,156.05\par
18.22,156.17\par
18.28,156.34\par
18.34,156.52\par
18.41,156.73\par
18.47,156.95\par
18.53,157.19\par
18.60,157.46\par
18.66,157.86\par
18.72,158.20\par
18.78,158.55\par
18.84,158.88\par
18.91,159.18\par
18.97,159.44\par
19.03,159.69\par
19.09,159.91\par
19.16,160.18\par
19.22,160.36\par
19.28,160.52\par
19.34,160.67\par
19.41,160.82\par
19.47,160.97\par
19.53,161.11\par
19.59,161.26\par
19.66,161.40\par
19.72,161.54\par
19.78,161.72\par
19.84,161.85\par
19.90,162.00\par
19.97,162.14\par
20.03,162.29\par
20.09,162.42\par
20.16,162.57\par
20.22,162.70\par
20.28,162.83\par
20.34,162.96\par
20.40,163.13\par
20.47,163.25\par
20.53,163.39\par
20.59,163.52\par
20.65,163.64\par
20.72,163.78\par
20.78,163.92\par
20.84,164.06\par
20.90,164.20\par
20.97,164.38\par
21.03,164.51\par
21.09,164.63\par
21.15,164.75\par
21.22,164.87\par
21.28,164.99\par
21.34,165.11\par
21.40,165.24\par
21.46,165.36\par
21.53,165.53\par
21.59,165.65\par
21.65,165.76\par
21.72,165.87\par
21.78,165.99\par
21.84,166.10\par
21.90,166.22\par
21.96,166.33\par
22.03,166.46\par
22.09,166.61\par
22.15,166.74\par
22.21,166.86\par
22.28,166.98\par
22.34,167.11\par
22.40,167.22\par
22.46,167.34\par
22.53,167.45\par
22.59,167.56\par
22.65,167.67\par
22.71,167.80\par
22.78,167.90\par
22.84,168.02\par
22.90,168.13\par
22.96,168.24\par
23.02,168.34\par
23.09,168.44\par
23.15,168.54\par
23.21,168.64\par
23.28,168.78\par
23.34,168.88\par
23.40,168.98\par
23.46,169.08\par
23.52,169.19\par
23.59,169.29\par
23.65,169.40\par
23.71,169.52\par
23.77,169.63\par
23.84,169.73\par
23.90,169.88\par
23.96,169.98\par
24.02,170.08\par
24.09,170.19\par
24.15,170.29\par
24.21,170.39\par
24.27,170.49\par
24.34,170.60\par
24.40,170.70\par
24.46,170.84\par
24.52,170.94\par
24.58,171.04\par
24.65,171.14\par
24.71,171.24\par
24.77,171.33\par
24.84,171.43\par
24.90,171.53\par
24.96,171.64\par
25.02,171.76\par
25.08,171.86\par
25.15,171.95\par
25.21,172.05\par
25.27,172.14\par
25.33,172.24\par
25.40,172.33\par
25.46,172.42\par
25.52,172.51\par
25.58,172.63\par
25.65,172.72\par
25.71,172.81\par
25.77,172.90\par
25.83,173.00\par
25.90,173.09\par
25.96,173.18\par
26.02,173.27\par
26.08,173.36\par
26.14,173.45\par
26.21,173.57\par
26.27,173.66\par
26.33,173.76\par
26.40,173.85\par
26.46,173.94\par
26.52,174.03\par
26.58,174.12\par
26.64,174.21\par
26.71,174.31\par
26.77,174.44\par
26.83,174.53\par
26.89,174.62\par
26.96,174.71\par
27.02,174.80\par
27.08,174.89\par
27.14,174.97\par
27.21,175.06\par
27.27,175.15\par
27.33,175.27\par
27.39,175.36\par
27.46,175.45\par
27.52,175.52\par
27.58,175.61\par
27.64,175.70\par
27.70,175.78\par
27.77,175.87\par
27.83,175.95\par
27.89,176.04\par
27.96,176.15\par
28.02,176.23\par
28.08,176.32\par
28.14,176.40\par
28.20,176.48\par
28.27,176.57\par
28.33,176.64\par
28.39,176.72\par
28.45,176.82\par
28.52,176.91\par
28.58,176.99\par
28.64,177.07\par
28.70,177.15\par
28.77,177.23\par
28.83,177.31\par
28.89,177.37\par
28.95,177.44\par
29.02,177.52\par
29.08,177.62\par
29.14,177.70\par
29.20,177.78\par
29.26,177.86\par
29.33,177.92\par
29.39,177.99\par
29.45,178.06\par
29.52,178.14\par
29.58,178.21\par
29.64,178.28\par
29.70,178.39\par
29.76,178.46\par
29.83,178.53\par
29.89,178.59\par
29.95,178.67\par
30.01,178.74\par
30.08,178.82\par
30.14,178.89\par
30.20,178.98\par
30.26,179.04\par
30.33,179.11\par
30.39,179.18\par
30.45,179.24\par
30.51,179.31\par
30.58,179.38\par
30.64,179.45\par
30.70,179.51\par
30.76,179.58\par
30.82,179.66\par
30.89,179.73\par
30.95,179.80\par
31.01,179.87\par
31.08,179.94\par
31.14,180.01\par
31.20,180.07\par
31.26,180.14\par
31.32,180.21\par
31.39,180.30\par
31.45,180.37\par
