{\rtf1\ansi\ansicpg936\deff0\deflang1033\deflangfe2052{\fonttbl{\f0\fnil\fcharset134 \'cb\'ce\'cc\'e5;}}
\viewkind4\uc1\pard\lang2052\f0\fs18\'b8\'d6\'bd\'ee\'bb\'fa\'d0\'b5\'c1\'ac\'bd\'d3\par
JX2023-B0026\par
3\par
2\par
\'c0\'ad\'c9\'ec\par
\'d4\'b2\'b0\'f4\par
WE-600S\'cd\'f2\'c4\'dc\'ca\'d4\'d1\'e9\'bb\'fa\par
32|\'b6\'c5\'b5\'c2\'c9\'fa\par
2023\'c4\'ea3\'d4\'c224\'c8\'d5\par
193.5\par
0\par
72.3\par
\par
\par
\par
\par
\par
\par
\par
\par
,20.39\par
0.02,20.75\par
0.08,21.13\par
0.14,21.52\par
0.20,21.94\par
0.26,22.37\par
0.33,22.83\par
0.39,23.31\par
0.45,23.81\par
0.52,24.50\par
0.58,25.03\par
0.64,25.58\par
0.70,26.15\par
0.76,26.71\par
0.83,27.29\par
0.89,27.88\par
0.95,28.48\par
1.01,29.10\par
1.08,29.92\par
1.14,30.55\par
1.20,31.19\par
1.26,31.83\par
1.33,32.48\par
1.39,33.15\par
1.45,33.82\par
1.51,34.48\par
1.58,35.16\par
1.64,35.85\par
1.70,36.77\par
1.76,37.47\par
1.82,38.17\par
1.89,38.88\par
1.95,39.60\par
2.01,40.33\par
2.08,41.06\par
2.14,41.80\par
2.20,42.55\par
2.26,43.56\par
2.32,44.32\par
2.39,45.09\par
2.45,45.86\par
2.51,46.64\par
2.57,47.42\par
2.64,48.22\par
2.70,49.02\par
2.76,49.82\par
2.82,50.90\par
2.89,51.73\par
2.95,52.55\par
3.01,53.39\par
3.07,54.21\par
3.14,55.05\par
3.20,55.89\par
3.26,56.73\par
3.32,57.58\par
3.38,58.43\par
3.45,59.57\par
3.51,60.43\par
3.57,61.29\par
3.64,62.15\par
3.70,63.01\par
3.76,63.90\par
3.82,64.77\par
3.88,65.66\par
3.95,66.54\par
4.01,67.74\par
4.07,68.65\par
4.13,69.55\par
4.20,70.47\par
4.26,71.38\par
4.32,72.31\par
4.38,73.25\par
4.45,74.17\par
4.51,75.11\par
4.57,76.38\par
4.63,77.34\par
4.70,78.30\par
4.76,79.26\par
4.82,80.22\par
4.88,81.18\par
4.94,82.14\par
5.01,83.09\par
5.07,84.05\par
5.13,85.34\par
5.20,86.31\par
5.26,87.28\par
5.32,88.26\par
5.38,89.23\par
5.44,90.21\par
5.51,91.19\par
5.57,92.17\par
5.63,93.15\par
5.69,94.13\par
5.76,95.45\par
5.82,96.44\par
5.88,97.43\par
5.94,98.43\par
6.01,99.44\par
6.07,100.44\par
6.13,101.46\par
6.19,102.48\par
6.26,103.51\par
6.32,104.89\par
6.38,105.92\par
6.44,106.95\par
6.50,107.98\par
6.57,109.01\par
6.63,110.04\par
6.69,111.07\par
6.76,112.10\par
6.82,113.12\par
6.88,114.48\par
6.94,115.49\par
7.00,116.50\par
7.07,117.49\par
7.13,118.48\par
7.19,119.47\par
7.25,120.42\par
7.32,121.37\par
7.38,122.31\par
7.44,123.55\par
7.50,124.45\par
7.57,125.35\par
7.63,126.24\par
7.69,127.10\par
7.75,127.94\par
7.82,128.75\par
7.88,129.53\par
7.94,130.31\par
8.00,131.08\par
8.06,132.02\par
8.13,132.67\par
8.19,133.28\par
8.25,133.86\par
8.32,134.41\par
8.38,134.92\par
8.44,135.40\par
8.50,135.85\par
8.56,136.25\par
8.63,136.74\par
8.69,137.04\par
8.75,137.31\par
8.81,137.54\par
8.88,137.75\par
8.94,137.89\par
9.00,138.01\par
9.06,138.13\par
9.13,138.24\par
9.19,138.38\par
9.25,138.48\par
9.31,138.55\par
9.38,138.60\par
9.44,138.63\par
9.50,138.64\par
9.56,138.63\par
9.62,138.60\par
9.69,138.56\par
9.75,138.51\par
9.81,138.43\par
9.88,138.40\par
9.94,138.40\par
10.00,138.44\par
10.06,138.54\par
10.12,138.69\par
10.19,138.85\par
10.25,139.05\par
10.31,139.25\par
10.37,139.55\par
10.44,139.81\par
10.50,140.09\par
10.56,140.39\par
10.62,140.70\par
10.69,141.01\par
10.75,141.31\par
10.81,141.60\par
10.87,141.90\par
10.94,142.28\par
11.00,142.53\par
11.06,142.74\par
11.12,142.90\par
11.18,143.03\par
11.25,143.15\par
11.31,143.23\par
11.37,143.28\par
11.44,143.33\par
11.50,143.36\par
11.56,143.37\par
11.62,143.38\par
11.68,143.42\par
11.75,143.47\par
11.81,143.54\par
11.87,143.61\par
11.93,143.64\par
12.00,143.66\par
12.06,143.66\par
12.12,143.67\par
12.18,143.68\par
12.25,143.70\par
12.31,143.71\par
12.37,143.73\par
12.43,143.76\par
12.50,143.80\par
12.56,143.82\par
12.62,143.85\par
12.68,143.85\par
12.74,143.83\par
12.81,143.80\par
12.87,143.77\par
12.93,143.79\par
13.00,143.84\par
13.06,143.93\par
13.12,144.05\par
13.18,144.21\par
13.24,144.42\par
13.31,144.59\par
13.37,144.74\par
13.43,144.87\par
13.49,145.01\par
13.56,145.16\par
13.62,145.37\par
13.68,145.60\par
13.74,145.89\par
13.81,146.20\par
13.87,146.61\par
13.93,146.90\par
13.99,147.16\par
14.06,147.38\par
14.12,147.60\par
14.18,147.79\par
14.24,147.98\par
14.30,148.17\par
14.37,148.38\par
14.43,148.71\par
14.49,148.93\par
14.56,149.12\par
14.62,149.25\par
14.68,149.38\par
