{\rtf1\ansi\ansicpg936\deff0\deflang1033\deflangfe2052{\fonttbl{\f0\fnil\fcharset134 \'ce\'a2\'c8\'ed\'d1\'c5\'ba\'da;}}
\viewkind4\uc1\pard\lang2052\f0\fs18\'b8\'d6\'bd\'ee\'bb\'fa\'d0\'b5\'c1\'ac\'bd\'d3\par
JX2023-B0499\par
3\par
2\par
\'c0\'ad\'c9\'ec\par
\'d4\'b2\'b0\'f4\par
WES-1000B\'d2\'ba\'be\'a7\'cf\'d4\'ca\'be\'cd\'f2\'c4\'dc\'ca\'d4\'d1\'e9\'bb\'fa(PA-32|\'b6\'c5\'b5\'c2\'c9\'fa\par
2023\'c4\'ea3\'d4\'c22\'c8\'d5\par
241.6\par
227.9\par
67.0\par
\par
\par
\par
\par
\par
\par
\par
\par
\par
,30.77\par
0.02,31.54\par
0.11,32.32\par
0.22,33.14\par
0.31,33.91\par
0.42,34.76\par
0.52,35.62\par
0.61,36.50\par
0.72,37.31\par
0.81,38.24\par
0.92,39.17\par
1.01,40.02\par
1.11,40.79\par
1.22,41.91\par
1.31,43.04\par
1.42,44.19\par
1.51,45.33\par
1.62,46.34\par
1.72,47.45\par
1.81,48.54\par
1.92,49.68\par
2.01,50.71\par
2.12,51.85\par
2.22,52.99\par
2.31,54.15\par
2.42,55.20\par
2.51,56.39\par
2.62,57.58\par
2.72,58.76\par
2.82,60.00\par
2.92,61.21\par
3.01,62.60\par
3.12,64.02\par
3.21,65.42\par
3.32,66.69\par
3.42,68.09\par
3.51,69.48\par
3.62,70.85\par
3.71,72.11\par
3.82,73.52\par
3.92,74.94\par
4.01,76.35\par
4.12,77.63\par
4.21,79.06\par
4.32,80.52\par
4.42,81.98\par
4.52,83.41\par
4.62,84.67\par
4.71,86.10\par
4.82,87.54\par
4.91,88.96\par
5.02,90.24\par
5.13,91.66\par
5.23,92.83\par
5.32,94.15\par
5.43,95.53\par
5.52,96.65\par
5.63,98.00\par
5.73,99.96\par
5.82,101.72\par
5.93,103.08\par
6.02,104.89\par
6.13,106.91\par
6.22,108.82\par
6.33,110.58\par
6.43,112.58\par
6.52,114.63\par
6.63,116.71\par
6.72,118.61\par
6.83,120.73\par
6.93,122.31\par
7.02,124.20\par
7.13,126.45\par
7.22,127.95\par
7.33,130.33\par
7.43,132.52\par
7.52,134.24\par
7.63,136.40\par
7.72,138.58\par
7.83,140.22\par
7.92,141.64\par
8.03,143.57\par
8.13,146.42\par
8.22,147.62\par
8.33,149.31\par
8.42,152.34\par
8.53,154.53\par
8.63,156.56\par
8.72,157.41\par
8.83,159.45\par
8.92,161.86\par
9.03,163.89\par
9.13,165.51\par
9.24,166.84\par
9.33,167.85\par
9.42,168.48\par
9.53,168.73\par
9.63,168.92\par
9.74,169.10\par
9.83,168.93\par
9.92,168.70\par
10.03,168.76\par
10.12,168.88\par
10.23,169.14\par
10.33,169.37\par
10.44,169.64\par
10.53,169.91\par
10.62,170.03\par
10.73,170.03\par
10.83,170.01\par
10.94,170.00\par
11.03,169.99\par
11.12,169.99\par
11.23,169.99\par
11.33,170.00\par
11.44,170.03\par
11.53,170.08\par
11.62,170.08\par
11.73,170.03\par
11.82,170.05\par
11.93,170.11\par
12.03,170.16\par
12.12,170.25\par
12.23,170.52\par
12.32,171.54\par
12.43,172.74\par
12.53,173.91\par
12.64,174.85\par
12.73,175.47\par
12.84,176.07\par
12.93,176.65\par
13.04,177.14\par
13.14,177.67\par
13.23,178.16\par
13.34,178.05\par
13.43,177.92\par
13.54,178.05\par
13.64,178.26\par
13.73,178.79\par
13.84,179.33\par
13.93,180.14\par
14.04,181.07\par
14.13,181.77\par
14.23,182.52\par
14.34,183.24\par
14.43,183.10\par
14.54,182.94\par
14.63,183.07\par
14.73,183.30\par
14.84,183.83\par
14.93,184.35\par
15.04,185.11\par
15.13,185.98\par
15.24,186.65\par
15.34,187.37\par
15.43,188.01\par
15.54,188.51\par
15.63,188.43\par
15.74,188.22\par
15.83,188.23\par
15.93,188.43\par
16.04,188.95\par
16.13,189.47\par
16.24,190.21\par
16.33,191.06\par
16.43,191.72\par
16.54,192.42\par
16.63,193.07\par
16.74,193.35\par
16.83,193.15\par
16.94,193.09\par
17.04,193.23\par
17.13,193.45\par
17.24,193.94\par
17.33,194.41\par
17.44,195.10\par
17.54,195.87\par
17.63,196.45\par
17.74,197.07\par
17.83,197.44\par
17.94,197.23\par
18.03,197.14\par
18.13,197.27\par
18.24,197.48\par
18.33,197.98\par
18.44,198.45\par
18.53,199.12\par
18.64,199.88\par
18.75,200.45\par
18.84,201.03\par
18.94,201.56\par
19.05,201.99\par
19.14,201.83\par
19.25,201.58\par
19.34,201.60\par
19.44,201.77\par
19.55,202.24\par
19.64,202.69\par
19.75,203.34\par
19.84,204.07\par
19.95,204.63\par
20.05,205.22\par
20.14,205.75\par
20.25,206.17\par
20.34,206.63\par
20.45,207.06\par
20.55,207.43\par
20.64,207.77\par
20.75,208.14\par
20.84,208.50\par
20.95,208.86\par
21.04,209.18\par
21.14,209.52\par
21.25,209.87\par
21.34,210.21\par
21.45,210.52\par
21.54,210.84\par
21.64,211.17\par
21.75,211.49\par
21.84,211.82\par
21.95,212.10\par
22.04,211.80\par
22.15,211.32\par
22.25,211.21\par
22.34,211.35\par
22.45,211.58\par
22.54,212.07\par
22.65,212.52\par
22.74,213.14\par
22.84,213.81\par
22.95,214.30\par
23.04,214.81\par
23.15,215.28\par
23.24,215.60\par
23.34,215.95\par
23.45,216.30\par
23.54,216.60\par
23.65,216.86\par
23.74,217.15\par
23.84,217.43\par
23.95,217.71\par
24.04,217.96\par
24.15,218.24\par
24.24,218.52\par
24.35,218.78\par
24.45,219.04\par
24.54,219.27\par
24.65,219.53\par
24.74,219.80\par
24.85,220.05\par
24.94,220.27\par
25.04,220.53\par
25.15,220.79\par
25.24,221.05\par
25.35,221.27\par
25.44,221.52\par
25.55,221.75\par
25.65,221.99\par
25.74,222.22\par
25.85,222.42\par
25.94,222.64\par
26.05,222.84\par
26.15,223.03\par
26.24,223.25\par
26.35,223.49\par
26.44,223.65\par
26.55,223.35\par
26.64,223.08\par
26.75,223.10\par
26.85,223.24\par
26.94,223.55\par
27.05,223.84\par
27.14,224.24\par
27.25,224.67\par
27.35,224.98\par
27.44,225.29\par
27.55,225.56\par
27.64,225.76\par
27.75,225.98\par
27.85,226.20\par
27.94,226.35\par
28.05,226.52\par
28.16,226.68\par
28.25,226.85\par
28.36,227.00\par
28.46,227.15\par
28.56,227.31\par
28.66,227.47\par
28.75,227.64\par
28.86,227.79\par
28.95,227.95\par
29.06,228.11\par
29.16,228.27\par
29.25,228.41\par
29.36,228.56\par
29.45,228.70\par
29.56,228.85\par
29.66,228.99\par
29.75,229.10\par
29.86,229.24\par
29.95,229.39\par
30.06,229.53\par
30.16,229.67\par
30.26,229.81\par
30.36,229.72\par
30.45,229.05\par
30.56,228.07\par
30.65,228.11\par
30.76,228.33\par
30.86,228.83\par
30.95,229.27\par
31.06,229.80\par
31.15,230.32\par
31.26,230.65\par
31.36,230.93\par
31.45,231.14\par
31.56,231.28\par
31.65,231.43\par
31.76,231.59\par
31.86,231.70\par
31.96,231.82\par
32.06,231.94\par
32.15,232.06\par
32.26,232.18\par
32.36,232.28\par
32.46,232.40\par
32.56,232.51\par
32.65,232.61\par
32.76,232.70\par
32.85,232.80\par
32.96,232.90\par
33.06,232.99\par
33.15,233.06\par
33.26,233.16\par
33.35,233.28\par
33.46,233.39\par
33.56,233.50\par
33.65,233.60\par
33.76,233.71\par
33.85,233.80\par
33.96,233.89\par
34.06,233.98\par
34.16,234.07\par
34.26,234.16\par
34.35,234.22\par
34.46,233.78\par
34.55,233.32\par
34.66,233.25\par
34.76,233.37\par
34.85,233.53\par
34.96,233.83\par
35.05,234.09\par
35.16,234.41\par
35.27,234.73\par
35.37,234.93\par
35.48,235.11\par
35.57,235.25\par
35.66,235.35\par
35.77,235.46\par
35.86,235.54\par
35.97,235.64\par
36.07,235.72\par
36.16,235.80\par
36.27,235.86\par
36.36,235.93\par
36.47,236.01\par
36.57,236.09\par
36.66,236.15\par
36.77,236.22\par
36.86,236.29\par
36.97,236.36\par
37.07,236.42\par
37.18,236.48\par
37.27,236.54\par
37.36,236.60\par
37.47,236.66\par
37.56,236.71\par
37.68,236.77\par
37.77,236.73\par
37.86,236.28\par
37.97,235.63\par
38.06,235.67\par
38.17,235.82\par
38.27,236.15\par
38.36,236.43\par
38.47,236.77\par
38.56,237.08\par
38.67,237.26\par
38.77,237.42\par
38.86,237.53\par
38.97,237.60\par
39.06,237.66\par
39.17,237.72\par
39.27,237.76\par
39.38,237.81\par
39.47,237.86\par
39.56,237.90\par
39.67,237.94\par
39.76,237.99\par
39.87,238.04\par
39.97,238.08\par
40.06,238.13\par
40.17,238.17\par
40.26,238.22\par
40.37,238.24\par
40.47,238.29\par
40.56,238.33\par
40.67,238.38\par
40.76,238.44\par
40.87,238.49\par
40.97,238.53\par
41.08,238.58\par
41.17,238.64\par
41.26,238.69\par
41.37,238.31\par
41.46,237.72\par
41.58,237.38\par
41.67,237.47\par
41.76,237.64\par
41.87,237.99\par
41.96,238.27\par
42.07,238.61\par
42.17,238.92\par
42.28,239.10\par
42.37,239.23\par
42.46,239.33\par
42.57,239.38\par
42.67,239.42\par
42.78,239.45\par
42.87,239.49\par
42.96,239.54\par
43.07,239.59\par
43.17,239.62\par
43.28,239.65\par
43.37,239.69\par
43.46,239.73\par
43.57,239.77\par
43.66,239.81\par
43.77,239.84\par
43.88,239.88\par
43.98,239.91\par
44.09,239.93\par
44.18,239.97\par
44.27,240.01\par
44.38,240.05\par
44.48,240.08\par
44.58,240.12\par
44.68,240.15\par
44.77,240.18\par
44.88,240.21\par
44.98,240.24\par
45.08,240.28\par
45.18,240.31\par
45.27,240.34\par
45.38,240.37\par
45.48,240.40\par
45.58,240.43\par
45.68,240.45\par
45.79,240.29\par
45.88,239.66\par
45.97,238.91\par
46.08,238.94\par
46.18,239.09\par
46.29,239.46\par
46.38,239.76\par
46.47,240.13\par
46.58,240.46\par
46.68,240.63\par
46.78,240.76\par
46.88,240.82\par
46.97,240.87\par
47.08,240.89\par
47.18,240.91\par
47.28,240.94\par
47.38,240.96\par
47.49,240.98\par
47.58,241.01\par
47.67,241.03\par
47.78,241.05\par
47.88,241.08\par
47.99,241.11\par
48.08,241.13\par
48.17,241.15\par
48.28,241.17\par
48.38,241.20\par
48.48,241.21\par
48.58,241.22\par
48.67,241.24\par
48.78,241.26\par
48.88,241.27\par
48.98,241.28\par
49.08,241.29\par
49.17,241.32\par
49.28,241.33\par
49.38,241.34\par
49.48,241.35\par
49.58,241.37\par
49.69,241.39\par
49.78,241.40\par
49.87,241.41\par
49.98,241.41\par
50.08,241.42\par
50.19,241.43\par
50.28,241.44\par
50.37,241.45\par
50.48,241.46\par
50.58,241.47\par
50.68,241.47\par
50.78,241.48\par
50.87,241.48\par
50.98,241.49\par
51.08,241.49\par
51.18,241.50\par
51.29,241.50\par
51.39,241.50\par
51.50,241.51\par
51.59,241.51\par
51.68,241.51\par
51.79,241.51\par
51.89,241.27\par
52.00,240.73\par
52.09,240.30\par
52.18,240.32\par
52.29,240.42\par
52.38,240.70\par
52.50,240.93\par
52.59,241.18\par
52.70,241.40\par
52.79,241.51\par
52.88,241.58\par
52.99,241.61\par
53.09,241.63\par
53.20,241.63\par
53.29,241.63\par
53.38,241.63\par
53.49,241.63\par
53.59,241.63\par
53.70,241.63\par
53.79,241.63\par
53.88,241.63\par
53.99,241.62\par
54.09,241.61\par
54.20,241.61\par
54.29,241.60\par
54.38,241.59\par
54.49,241.58\par
54.58,241.57\par
54.69,241.56\par
54.79,241.55\par
54.90,241.54\par
54.99,241.53\par
55.08,241.52\par
55.19,241.51\par
