{\rtf1\ansi\ansicpg936\deff0\deflang1033\deflangfe2052{\fonttbl{\f0\fnil\fcharset134 \'ce\'a2\'c8\'ed\'d1\'c5\'ba\'da;}}
\viewkind4\uc1\pard\lang2052\f0\fs18\'b8\'d6\'bd\'ee\'d4\'ad\'b2\'c4\par
GL2023-B0493\par
2\par
1\par
\'c0\'ad\'c9\'ec\par
\'d4\'b2\'b0\'f4\par
WES-1000B\'d2\'ba\'be\'a7\'cf\'d4\'ca\'be\'cd\'f2\'c4\'dc\'ca\'d4\'d1\'e9\'bb\'fa(PA-32|\'b6\'c5\'b5\'c2\'c9\'fa\par
2023\'c4\'ea3\'d4\'c224\'c8\'d5\par
299.8\par
223\par
99.2\par
\par
\par
\par
\par
\par
\par
\par
\par
\par
,30.76\par
0.03,31.71\par
0.06,32.57\par
0.09,33.57\par
0.11,34.59\par
0.19,35.63\par
0.30,36.59\par
0.39,37.71\par
0.50,38.85\par
0.59,40.00\par
0.69,41.04\par
0.80,42.22\par
0.89,43.44\par
1.00,44.55\par
1.09,45.79\par
1.19,47.02\par
1.30,48.26\par
1.39,49.38\par
1.50,50.62\par
1.59,51.85\par
1.68,53.07\par
1.79,54.15\par
1.89,55.38\par
2.00,56.65\par
2.09,57.92\par
2.20,59.04\par
2.29,60.25\par
2.39,61.46\par
2.50,62.68\par
2.59,63.74\par
2.70,64.91\par
2.79,66.07\par
2.89,67.27\par
3.00,68.41\par
3.09,69.70\par
3.20,70.97\par
3.29,72.11\par
3.40,73.39\par
3.50,74.68\par
3.59,75.96\par
3.70,77.12\par
3.79,78.41\par
3.90,79.73\par
3.99,81.06\par
4.09,82.25\par
4.20,83.57\par
4.29,84.96\par
4.40,86.37\par
4.49,87.63\par
4.60,89.05\par
4.70,90.52\par
4.79,92.04\par
4.90,93.41\par
4.99,94.94\par
5.10,96.52\par
5.20,98.14\par
5.29,99.60\par
5.40,101.21\par
5.49,102.82\par
5.60,104.33\par
5.69,106.16\par
5.80,108.11\par
5.90,110.09\par
5.99,111.86\par
6.10,113.82\par
6.19,115.77\par
6.30,117.73\par
6.40,119.55\par
6.51,121.59\par
6.60,123.68\par
6.69,125.81\par
6.86,127.70\par
6.90,129.81\par
7.00,131.97\par
7.10,134.14\par
7.19,136.08\par
7.30,138.29\par
7.40,140.56\par
7.50,142.85\par
7.60,144.92\par
7.69,147.19\par
7.80,149.45\par
7.89,151.46\par
8.00,153.67\par
8.10,155.90\par
8.21,158.09\par
8.30,159.86\par
8.39,161.93\par
8.50,163.97\par
8.60,166.22\par
8.70,168.20\par
8.80,170.40\par
8.89,172.65\par
9.00,174.87\par
9.10,176.81\par
9.20,178.94\par
9.30,181.09\par
9.41,183.22\par
9.50,185.12\par
9.59,187.25\par
9.70,189.35\par
9.80,191.21\par
9.91,193.27\par
10.00,195.34\par
10.09,197.40\par
10.20,199.25\par
10.30,201.28\par
10.41,203.17\par
10.50,204.77\par
10.59,206.39\par
10.70,208.36\par
10.80,210.10\par
10.90,211.78\par
11.00,213.24\par
11.11,214.79\par
11.20,216.26\par
11.30,217.64\par
11.40,218.82\par
11.50,220.03\par
11.61,221.14\par
11.70,222.11\par
11.81,222.79\par
11.90,223.37\par
12.00,223.86\par
12.11,224.28\par
12.20,224.76\par
12.31,225.09\par
12.40,225.14\par
12.50,225.12\par
12.62,225.08\par
12.70,224.98\par
12.79,224.89\par
12.90,224.69\par
13.00,224.33\par
13.10,224.01\par
13.20,223.67\par
13.29,223.39\par
13.40,223.21\par
13.49,223.20\par
13.60,223.22\par
13.70,223.24\par
13.79,223.25\par
13.90,223.25\par
13.99,223.26\par
14.09,223.27\par
14.20,223.27\par
14.31,223.27\par
14.40,223.28\par
14.49,223.27\par
14.60,223.25\par
14.70,223.26\par
14.80,223.28\par
14.90,223.37\par
15.01,223.41\par
15.10,223.38\par
15.20,223.31\par
15.30,223.19\par
15.43,223.13\par
15.49,223.05\par
15.60,223.01\par
15.71,223.04\par
15.80,223.11\par
15.90,223.26\par
16.01,223.36\par
16.10,223.42\par
16.22,223.44\par
16.30,223.50\par
16.40,223.65\par
16.50,223.65\par
16.60,223.60\par
16.69,223.54\par
16.80,223.56\par
16.90,223.62\par
16.99,223.74\par
17.10,223.77\par
17.19,223.78\par
17.30,223.82\par
17.39,223.94\par
17.55,223.96\par
17.60,223.92\par
17.69,223.85\par
17.82,223.36\par
17.91,222.60\par
18.00,222.25\par
18.11,222.48\par
18.21,222.90\par
18.33,224.07\par
18.41,225.25\par
18.50,226.83\par
18.61,228.40\par
18.69,229.41\par
18.80,230.31\par
18.89,231.04\par
19.00,231.52\par
19.10,232.03\par
19.19,232.51\par
19.30,232.90\par
19.39,233.24\par
19.50,233.59\par
19.59,233.92\par
19.70,234.27\par
19.80,234.58\par
19.89,234.89\par
20.00,235.20\par
20.09,235.52\par
20.20,235.79\par
20.30,236.10\par
20.39,236.42\par
20.50,236.74\par
20.59,237.03\par
20.70,237.36\par
20.80,237.69\par
20.90,238.01\par
21.00,238.37\par
21.09,238.74\par
21.20,239.12\par
21.29,239.43\par
21.40,239.78\par
21.50,239.79\par
21.61,239.98\par
21.70,240.63\par
21.79,241.12\par
21.90,241.51\par
22.00,241.88\par
22.11,242.21\par
22.20,242.56\par
22.29,242.92\par
22.40,243.24\par
22.50,243.54\par
22.60,243.87\par
22.70,244.17\par
22.81,244.47\par
22.90,244.80\par
23.00,245.12\par
23.10,245.46\par
23.20,245.75\par
23.31,246.09\par
23.40,246.41\par
23.49,246.74\par
23.60,247.04\par
23.70,247.37\par
23.81,247.69\par
23.90,248.02\par
24.01,248.33\par
24.10,248.68\par
24.20,249.04\par
24.30,249.41\par
24.40,249.73\par
24.51,250.10\par
24.60,250.44\par
24.70,250.78\par
24.80,251.09\par
24.90,251.41\par
25.01,251.75\par
25.10,252.05\par
25.20,252.37\par
25.30,252.53\par
25.40,252.53\par
25.51,252.58\par
25.60,252.70\par
25.71,253.01\par
25.80,253.33\par
25.90,253.79\par
26.01,254.33\par
26.10,254.75\par
26.21,255.21\par
26.30,255.61\par
26.40,255.94\par
26.50,256.30\par
26.60,256.63\par
26.71,256.90\par
26.80,257.19\par
26.91,257.47\par
27.04,257.72\par
27.10,258.00\par
27.21,258.29\par
27.30,258.58\par
27.41,258.82\par
27.50,259.11\par
27.60,259.38\par
27.71,259.65\par
27.80,259.90\par
27.91,260.17\par
28.00,260.42\par
28.11,260.68\par
28.20,260.90\par
28.30,261.15\par
28.41,261.40\par
28.50,261.66\par
28.61,261.90\par
28.70,262.16\par
28.80,262.41\par
28.91,262.38\par
29.00,262.36\par
29.11,262.43\par
29.20,262.55\par
29.31,262.83\par
29.41,263.12\par
29.50,263.53\par
29.61,264.01\par
29.70,264.36\par
29.81,264.73\par
29.91,265.09\par
30.00,265.36\par
30.11,265.65\par
30.20,265.94\par
30.31,266.19\par
30.40,266.44\par
30.51,266.65\par
30.61,266.89\par
30.70,267.13\par
30.81,267.36\par
30.90,267.58\par
31.01,267.81\par
31.11,268.03\par
31.20,268.25\par
31.31,268.48\par
31.40,268.70\par
31.51,268.92\par
31.61,269.11\par
31.72,269.33\par
31.81,269.55\par
31.90,269.76\par
32.01,269.95\par
32.10,270.17\par
32.22,270.39\par
32.31,270.61\par
32.40,270.81\par
32.51,271.04\par
32.60,271.24\par
32.71,271.43\par
32.81,271.61\par
32.92,271.81\par
33.01,272.00\par
33.10,272.20\par
33.21,272.38\par
33.31,272.59\par
33.42,272.80\par
33.51,272.98\par
33.60,273.19\par
33.71,273.39\par
33.81,273.58\par
33.92,273.75\par
34.01,273.95\par
34.12,274.15\par
34.21,274.34\par
34.30,274.51\par
34.41,274.71\par
34.51,274.89\par
34.62,275.06\par
34.71,275.22\par
34.80,275.40\par
34.91,275.55\par
35.01,275.72\par
35.10,275.90\par
35.21,276.08\par
